accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,report_url
0000101778-24-000023,2024-02-22,2023-12-31,2024-02-22T16:33:31.000Z,34,10-K,001-05153,24665402,,37363485,1,1,mro-20231231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177824000023/mro-20231231.htm
0000101778-23-000146,2023-11-02,2023-09-30,2023-11-02T16:21:32.000Z,34,10-Q,001-05153,231372683,,11308006,1,1,mro-20230930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000146/mro-20230930.htm
0000101778-23-000107,2023-08-03,2023-06-30,2023-08-03T16:08:15.000Z,34,10-Q,001-05153,231139959,,10194187,1,1,mro-20230630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000107/mro-20230630.htm
0000101778-23-000096,2023-05-04,2023-03-31,2023-05-04T16:04:44.000Z,34,10-Q,001-05153,23888556,,9078026,1,1,mro-20230331.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000096/mro-20230331.htm
0000101778-23-000030,2023-02-16,2022-12-31,2023-02-16T16:12:52.000Z,34,10-K,001-05153,23638645,,22321967,1,1,mro-20221231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177823000030/mro-20221231.htm
0000101778-22-000192,2022-11-03,2022-09-30,2022-11-03T16:08:54.000Z,34,10-Q,001-05153,221358024,,12140007,1,1,mro-20220930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000192/mro-20220930.htm
0000101778-22-000168,2022-08-04,2022-06-30,2022-08-04T16:03:38.000Z,34,10-Q,001-05153,221136416,,11700481,1,1,mro-20220630.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000168/mro-20220630.htm
0000101778-22-000118,2022-05-05,2022-03-31,2022-05-05T16:01:47.000Z,34,10-Q,001-05153,22896036,,9351443,1,1,mro-20220331.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000118/mro-20220331.htm
0000101778-22-000016,2022-02-17,2021-12-31,2022-02-17T16:18:00.000Z,34,10-K,001-05153,22648343,,22213129,1,1,mro-20211231.htm,10-K,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177822000016/mro-20211231.htm
0000101778-21-000109,2021-11-04,2021-09-30,2021-11-04T16:09:16.000Z,34,10-Q,001-05153,211379988,,12946649,1,1,mro-20210930.htm,10-Q,MRO,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/101778/000010177821000109/mro-20210930.htm
